Timestamp,OutdoorTemp,OutdoorHumidity,kW
7/1/2024 0:15,66,76,0
7/1/2024 0:30,65.4,78,0
7/1/2024 0:45,64.8,80,0
7/1/2024 1:00,64.3,81,0
7/1/2024 1:15,63.7,83,0
7/1/2024 1:30,63.5,84,0
7/1/2024 1:45,63.4,84,0
7/1/2024 2:00,63.3,84,0
7/1/2024 2:15,63.1,85,0
7/1/2024 2:30,63,85,0
7/1/2024 2:45,63,85,0
7/1/2024 3:00,62.9,85,0
7/1/2024 3:15,62.8,85,0
7/1/2024 3:30,62.5,86,0
7/1/2024 3:45,62.2,86,0
7/1/2024 4:00,62,87,0
7/1/2024 4:15,61.7,88,0
7/1/2024 4:30,61.4,88,0
7/1/2024 4:45,61.2,89,0
7/1/2024 5:00,60.9,90,0
7/1/2024 5:15,60.6,90,0
7/1/2024 5:30,60.8,90,0
7/1/2024 5:45,61,90,0
7/1/2024 6:00,61.2,89,0
7/1/2024 6:15,61.3,89,0
7/1/2024 6:30,61.7,88,0
7/1/2024 6:45,62.1,88,0
7/1/2024 7:00,62.4,88,0
7/1/2024 7:15,62.8,87,0
7/1/2024 7:30,63.1,86,0
7/1/2024 7:45,63.5,86,0
7/1/2024 8:00,63.9,86,0
7/1/2024 8:15,64.2,85,0
7/1/2024 8:30,64.9,84,0
7/1/2024 8:45,65.6,82,0
7/1/2024 9:00,66.2,80,0
7/1/2024 9:15,66.9,79,0
7/1/2024 9:30,67.9,77,0
7/1/2024 9:45,68.8,76,0
7/1/2024 10:00,69.8,74,0
7/1/2024 10:15,70.7,72,0
7/1/2024 10:30,71.3,71,0
7/1/2024 10:45,72,70,0
7/1/2024 11:00,72.6,68,0
7/1/2024 11:15,73.2,67,0
7/1/2024 11:30,73.5,66,0
7/1/2024 11:45,73.8,66,0
7/1/2024 12:00,74.2,66,0
7/1/2024 12:15,74.5,65,0
7/1/2024 12:30,75,64,0
7/1/2024 12:45,75.6,63,0
7/1/2024 13:00,76.1,62,0
7/1/2024 13:15,76.6,61,0
7/1/2024 13:30,77.8,59,0
7/1/2024 13:45,79,56,0
7/1/2024 14:00,80.2,54,0
7/1/2024 14:15,81.3,52,0
7/1/2024 14:30,81.2,52,0
7/1/2024 14:45,81.1,52,0
7/1/2024 15:00,80.9,51,0
7/1/2024 15:15,80.8,51,0
7/1/2024 15:30,80.5,52,0
7/1/2024 15:45,80.2,52,0
7/1/2024 16:00,79.8,52,0
7/1/2024 16:15,79.5,53,0
7/1/2024 16:30,79.9,53,0
7/1/2024 16:45,80.2,52,0
7/1/2024 17:00,80.6,52,0
7/1/2024 17:15,81,52,0
7/1/2024 17:30,80.3,52,0
7/1/2024 17:45,79.7,53,1.43610348
7/1/2024 18:00,79.1,54,3.531402
7/1/2024 18:15,78.4,54,3.531402
7/1/2024 18:30,78.3,53,3.531402
7/1/2024 18:45,78.1,52,3.531402
7/1/2024 19:00,77.9,52,3.531402
7/1/2024 19:15,77.7,51,2.63678016
7/1/2024 19:30,77.3,51,3.531402
7/1/2024 19:45,76.9,51,3.531402
